"fips_code","ddmax_modeled_baseline","ddmax_projected","ddmean_modeled_baseline","ddmean_projected","ddmin_modeled_baseline","ddmin_projected"
"0232150",15074,16076,13420,13272,12068,10333
"0232310",14966,16347,13473,13332,11729,10642
"0232550",11050,11844,9779,9645,8391,7719
"0233030",14401,15383,12605,12452,10753,9737
"0233140",10634,12094,9532,9400,8411,6826
"0233360",8957,9987,8114,7977,7259,6093
"0233470",14337,16078,12587,12428,10516,9238
"0233580",12965,13882,11596,11454,10060,8751
"0233800",12033,13208,10884,10750,9165,8019
"0233910",16313,17359,14766,14610,13167,11629
"0234350",15769,16869,14194,14046,12405,11158
"0234790",12559,13737,10594,10428,8505,7356
"0235120",12560,13759,10602,10440,8568,7192
"0235890",11407,12731,10058,9911,9349,8242
"0236400",9392,10650,8420,8274,7571,6155
"0236540",10634,12094,9532,9400,8411,6826
"0236770",8560,9514,7681,7553,6937,5791
"0236990",20949,21884,18786,18580,16797,14871
"0237250",12491,13395,10592,10429,9363,7555
"0237430",15493,16324,13722,13573,12071,10889
"0237540",10429,11712,9098,8966,7677,6817
"0237975",14363,15653,12245,12081,10022,9370
"0238090",12175,13256,10516,10360,9398,7528
"0238420",12649,13421,10610,10448,9371,7583
"0238910",14175,15453,12638,12513,11409,9509
"0239300",17033,17883,15108,14959,12776,12064
"0239410",11174,12667,9902,9765,9102,8101
"0239630",12454,13682,10571,10404,8701,7503
"0239740",13481,15363,11739,11575,9787,8852
"0239960",17943,19018,15823,15657,13037,11797
"0240510",10348,11519,9173,9033,8009,6638
"0240670",11368,12495,10052,9921,8330,7164
"0240645",11665,12954,10479,10337,9090,7714
"0240840",17127,18391,15513,15376,13640,12363
"0240950",10440,11700,9439,9313,8402,7395
"0241210",9852,11131,8800,8681,7554,6806
"0241280",12308,13509,10433,10277,8555,7136
"0241500",13158,14488,11210,11046,9319,8144
"0241610",13808,15405,11827,11663,9756,8823
"0241720",15131,16148,13158,12991,11009,10194
"0241830",16943,17913,15099,14934,12826,11687
"0241940",15964,16724,14099,13938,12232,11225
"0242050",15540,16464,13842,13694,12179,10892
"0242160",9245,10291,8249,8119,7202,6254
"0242380",14142,15440,12113,11951,9953,9215
"0242490",13588,15346,11737,11575,9714,8745
"0242805",15801,16424,13848,13736,11565,10642
"0242820",14954,15665,13574,13422,12197,10996
"0243040",10162,11462,8892,8761,7505,6684
"0243260",11673,12756,10389,10253,8866,7519
"0243810",12677,13954,10697,10526,8654,7522
"0244030",14446,15741,12544,12387,10828,9387
"0244580",16188,17466,14725,14567,13264,11835
"0245295",10653,12094,9517,9380,8208,6853
"0245460",14190,15204,12307,12149,10306,9384
"0245700",10261,11341,8961,8826,7665,6420
"0246780",14919,16161,13625,13465,12302,10599
"0246890",13003,14335,11030,10859,9090,7841
"0247000",14522,15510,12586,12423,10491,9837
"0245790",15440,17074,13980,13865,12522,10338
"0246010",14786,15907,13204,13054,11734,10570
"0247735",11984,13143,10791,10657,9174,7964
"0247990",13613,15760,12037,11877,10143,8887
"0248200",15323,16067,13448,13340,11323,10266
"0248540",16554,17889,15145,14989,13818,12127
"0248590",14199,15904,12239,12076,10097,9466
"0249200",9661,10924,8556,8439,7191,6555
"0249530",14797,16138,13484,13328,12060,10561
"0250080",15716,16419,13671,13516,11937,10542
"0250190",11282,12561,10035,9885,8718,7201
"0250800",11828,13037,10619,10480,9571,7969
"0251180",14813,15912,12789,12621,10549,9982
"0251455",10787,11886,9517,9378,8283,7068
"0251960",15931,17184,14354,14232,13017,11193
"0252060",12605,13840,10615,10444,8647,7464
"0252210",10579,11974,9368,9248,7794,6875
"0252390",14195,15486,12108,11946,9904,9224
"0252720",14156,15429,12087,11925,9901,9190
"0252915",16899,17285,14745,14648,11798,11477
"0252940",10608,12131,9297,9156,7909,7267
"0253050",14740,15891,13193,13032,11772,10343
"0253710",12913,14293,11003,10833,9092,7845
"0253270",12560,13759,10602,10440,8568,7192
"0253820",14297,15960,12296,12132,10143,9517
"0253930",13856,15740,12062,11896,10034,9242
"0254050",12768,13341,10573,10416,9266,7578
"0254085",12259,13376,10963,10815,9902,8152
"0254150",14529,15421,12972,12825,11480,10245
"0254480",12076,13082,10320,10166,9198,7317
"0254700",17690,18710,15620,15467,12937,12025
"0254920",15843,17040,13944,13774,11825,10369
"0255030",13369,14383,11253,11091,9230,7775
"0255140",16900,17786,15024,14871,12764,11995
"0255745",11940,13033,10676,10541,9144,7837
"0255910",15344,16319,13553,13393,11937,10429
"0256220",15853,17128,14382,14237,12980,11586
"0256320",20942,22009,18806,18642,16602,15197
"0256350",15534,16420,13817,13671,12157,10892
"0256600",15039,16226,13015,12849,10749,9727
"0256680",14363,15653,12245,12081,10022,9370
"0257340",10146,11491,9190,9067,8143,7213
"0258330",14156,15429,12087,11925,9901,9190
"0258550",9875,11150,8723,8602,7363,6662
"0258660",11673,12756,10389,10253,8866,7519
"0259320",15978,17156,14530,14388,13125,11433
"0259540",11959,13323,10211,10060,8391,6769
"0259650",11813,12731,10688,10573,9011,8812
"0260200",10235,11624,8964,8831,7740,7044
"0260310",9041,9879,7852,7718,6973,5711
"0260460",14771,15504,13161,13018,11306,10149
"0260640",11567,12830,9908,9748,8185,7244
"0260750",14620,15638,12642,12476,10473,9899
"0260860",14823,15830,12826,12660,10628,10059
"0261080",13017,14785,11177,11013,9243,8122
"0261120",15054,16603,13734,13591,12354,10748
"0261630",18654,19886,16423,16272,13349,11804
"0261700",19819,20424,17621,17459,14815,13270
"0261788",11610,12867,10376,10240,8632,7695
"0262125",12144,13375,10279,10125,8372,6958
"0262510",8172,8990,7291,7177,6466,5655
"0262620",13261,14425,11247,11087,9237,7679
"0263170",16316,17633,14458,14285,12267,10506
"0263280",11124,12416,9993,9870,8501,7497
"0263390",10934,12339,9486,9333,7939,7161
"0263610",10029,11329,8869,8742,7548,6797
"0262285",12747,14102,10842,10669,8995,7650
"0264240",11110,12521,9882,9734,8551,7049
"0264380",21056,22313,18901,18726,16597,15271
"0264600",13760,15161,11660,11501,9602,8557
"0264820",15592,16812,14183,14026,12941,11058
"0264930",14101,15344,12390,12244,10598,9528
"0264980",19107,20177,16982,16840,14250,13490
"0265345",12256,13405,10609,10451,9481,7586
"0265590",15436,16473,13904,13749,12343,10962
"0265700",14621,15581,12733,12571,10690,9915
"0265800",11872,13890,10392,10260,8920,8257
"0266140",14691,15703,12699,12533,10513,9934
"0266360",15167,16030,13323,13152,11328,10129
"0266510",12649,13421,10610,10448,9371,7583
"0266550",15368,16424,13556,13406,11927,10712
"0267020",10089,11506,8827,8693,7594,6957
"0267460",15859,17024,13823,13671,11526,10043
"0267680",14802,16115,12772,12607,10505,9525
"0268230",16669,17533,14830,14677,12654,11744
"0268340",10903,12262,9783,9662,8299,7243
"0268370",12058,12953,10742,10618,9392,8288
"0268560",10653,12094,9517,9380,8208,6853
"0268670",14608,15577,12817,12663,10996,10052
"0268890",15442,16245,13650,13484,11801,10751
"0270100",16859,17790,14974,14838,12673,11855
"0270320",14585,15643,12876,12757,11535,9784
"0270540",8403,9218,7476,7357,6482,5746
"0270760",11389,12328,9944,9807,8592,7316
"0270870",12360,13507,11188,11041,9511,8401
"0270930",16604,17722,15064,14920,13606,12126
"0271090",13866,15136,12144,11999,10411,9267
"0271640",12256,13405,10609,10451,9481,7586
"0272135",11940,13033,10676,10541,9144,7837
"0272190",12605,13840,10615,10444,8647,7464
"0272230",14610,15990,13250,13082,11872,10274
"0272960",15184,16019,13307,13135,11289,10090
"0272985",14698,16088,13308,13146,11885,10309
"0273070",12071,13445,10636,10482,9238,7627
"0273290",15773,17035,14417,14268,13280,11266
"0273400",13901,15155,12212,12068,10580,9350
"0273950",11977,13090,10685,10539,9207,7893
"0274340",12090,13139,10762,10615,9013,8076
"0274350",12276,13466,11096,10949,9776,8315
"0274525",12561,13385,11023,10900,9147,8107
"0274610",14674,15792,13060,12911,11602,10472
"0274830",12245,13405,11063,10918,9722,8281
"0275050",15491,16956,14157,14010,12715,11303
"0275077",11940,13033,10676,10541,9144,7837
"0275160",15362,16299,13972,13811,12732,10916
"0275380",10316,11494,9348,9221,8031,6953
"0275480",14615,15521,12763,12640,11645,9608
"0275930",16324,17605,14458,14287,12295,10677
"0276260",9962,10885,8981,8845,7856,7092
"0276590",15805,17156,14393,14246,13068,11596
"0277690",13113,14551,11119,10949,9167,7974
"0277800",15570,17037,14245,14098,12757,11424
"0278240",13840,15833,12128,11964,10158,9183
"0278297",15398,16181,13547,13433,11613,10482
"0278350",16365,16782,14086,13972,11817,10883
"0278680",12245,13405,11063,10918,9722,8281
"0278790",14185,15448,12204,12043,10098,9287
"0279120",14156,15508,11987,11824,9788,9002
"0279230",13864,15835,12121,11957,10112,9174
"0279780",13208,14630,11193,11022,9297,8033
"0279830",14998,16297,13452,13306,12025,10371
"0279890",12513,12854,10332,10179,8985,7562
"0280100",11449,12750,9846,9687,8188,7207
"0280660",15136,16010,13385,13220,11510,10547
"0281320",14196,15199,12307,12150,10317,9380
"0281920",21402,22390,19386,19220,17004,15116
"0282200",13595,14401,12162,12036,10728,9474
"0282420",17102,18221,15440,15294,13829,12291
"0282750",20734,21652,18693,18527,16386,14506
"0282860",16621,17885,14789,14614,12513,10530
"0283080",11940,13033,10676,10541,9144,7837
"0284070",15770,16815,13917,13749,11927,10741
"0284120",14893,16384,13431,13290,11804,10508
"0284200",8957,9987,8114,7977,7259,6093
"0284510",10628,11614,9283,9136,8063,6755
"0285280",12267,13441,11083,10945,9364,8190
"0285290",14366,15518,12758,12632,11486,9715
"0285610",19035,20273,17265,17122,15306,14001
"0285680",9852,11131,8800,8681,7554,6806
"0286490",10243,11310,9208,9095,8060,6777
