"fips_code","ddmax_modeled_baseline","ddmax_projected","ddmean_modeled_baseline","ddmean_projected","ddmin_modeled_baseline","ddmin_projected"
"0200650",10020,11406,8972,8848,7888,6953
"0200760",14178,15492,12158,11996,10001,9260
"0200870",14118,15409,12101,11939,9951,9194
"0201200",15071,16194,13062,12895,10818,9831
"0201305",16476,17506,14926,14772,13452,11508
"0201390",16282,17487,14717,14573,13327,11805
"0201420",13399,14789,11435,11265,9676,8246
"0201560",9985,11247,8766,8644,7356,6673
"0201860",16406,17389,14872,14717,13410,11451
"0201970",17318,18337,15527,15392,13415,12436
"0202080",19460,20381,17402,17267,15553,14089
"0203110",11270,12665,10073,9933,8865,7239
"0203000",11398,12779,10231,10079,8827,7482
"0203220",14817,15866,13279,13122,12018,10354
"0203440",10093,10893,8972,8840,7866,7097
"0203550",14126,15160,12284,12132,10326,9357
"0203880",14626,15596,12841,12684,10947,10024
"0203990",19450,20133,17321,17193,15435,14499
"0204430",14294,15575,12204,12042,9990,9331
"0204500",20664,21492,18644,18472,16383,14597
"0205000",15344,16319,13553,13393,11937,10429
"0205585",10653,12094,9517,9380,8208,6853
"0205750",15995,17578,14819,14674,13220,11741
"0206520",14224,15511,12167,12005,9982,9283
"0206630",16870,17888,15338,15188,13719,11947
"0206850",14893,16384,13431,13290,11804,10508
"0207070",11884,13126,10662,10525,9114,7881
"0207620",16224,17644,14885,14736,13327,11968
"0208740",16347,17667,14490,14318,12300,10551
"0209600",16487,17380,14795,14630,12840,11842
"0209657",13362,14092,11820,11694,9928,9062
"0209710",11332,12525,10111,9972,8664,7218
"0210150",15244,16366,13660,13509,12158,10523
"0211690",16047,17414,14617,14467,12983,11822
"0211800",16944,17708,15246,15102,13652,12181
"0212350",12608,13597,11249,11103,9989,8290
"0212680",13599,15509,11863,11698,9898,8978
"0212920",14689,16037,13304,13132,11960,10354
"0212970",10003,11422,9231,9109,7960,6922
"0213230",14595,15978,12641,12475,10440,9493
"0213340",13436,14297,11730,11634,9061,8535
"0213450",16234,17728,14845,14696,13365,11884
"0213550",10307,11744,9020,8880,7600,6932
"0213670",10877,12282,9587,9440,8517,7602
"0213780",10855,12231,9550,9405,8504,7597
"0213860",9705,11025,8719,8599,7498,6754
"0213890",17097,18587,15679,15565,14379,12277
"0214000",15399,16323,13661,13529,12354,10568
"0214110",13542,14849,11887,11764,10765,8414
"0214330",14289,15341,12474,12321,10487,9548
"0214880",16212,17304,14687,14535,13128,11829
"0215320",12115,13136,10368,10208,9183,7334
"0215430",12848,14220,10939,10768,9090,7742
"0216420",12273,13288,10489,10328,9303,7439
"0216530",10352,11915,9127,8996,7884,7295
"0216630",17771,18929,16166,16022,14415,12824
"0216750",14749,16101,13405,13234,12101,10515
"0217190",15304,14388,11882,11724,10146,8699
"0217300",14585,15643,12876,12757,11535,9784
"0217410",12256,13140,10717,10618,8589,8032
"0217670",11828,13037,10619,10480,9571,7969
"0217850",14511,15686,12821,12672,10921,9960
"0217960",11282,12561,10035,9885,8718,7201
"0218510",16504,17307,14700,14527,12666,11388
"0218620",14993,16434,13498,13358,11916,10534
"0218675",15048,16421,13508,13365,11819,10557
"0218805",17198,18395,15536,15397,13425,12554
"0218925",10634,12094,9532,9400,8411,6826
"0218950",12891,14208,10954,10787,9016,7787
"0219720",15529,17007,14120,13976,12621,11181
"0219750",15529,17007,14120,13976,12621,11181
"0220020",15259,16651,13757,13612,12213,10876
"0220380",16134,17286,14557,14412,12971,11435
"0220600",16066,17345,14529,14383,12967,11347
"0221040",13995,15384,11881,11721,9700,8815
"0221150",12294,13385,10342,10174,8487,7440
"0221370",15716,16419,13671,13516,11937,10542
"0221810",12936,14294,11015,10848,9111,7866
"0222140",9081,10047,8305,8177,7468,6361
"0222250",15722,16581,13860,13693,11947,10868
"0222910",15106,16225,13109,12942,10884,9916
"0223460",14689,16037,13304,13132,11960,10354
"0223720",16171,16775,14235,14126,11744,10925
"0223790",16870,17888,15338,15188,13719,11947
"0223900",12040,12966,10825,10685,9391,8808
"0224230",14610,15990,13250,13082,11872,10274
"0224660",10225,11777,9052,8926,7911,7269
"0225000",11673,12756,10389,10253,8866,7519
"0224980",14749,16101,13405,13234,12101,10515
"0225220",15615,16974,14285,14139,12803,11340
"0225550",15163,15597,13402,13283,11356,10719
"0225880",14680,15759,12959,12809,11253,10228
"0226100",15194,16646,13716,13576,12154,10719
"0226760",16589,17838,15122,14974,13536,12053
"0226835",14888,16199,13471,13307,11900,10651
"0226870",15083,16479,13716,13553,12290,10849
"0226910",11874,13050,10738,10591,9734,7974
"0227090",10893,12305,9784,9645,8878,7022
"0227145",12107,13442,10627,10476,9328,7638
"0227420",15164,15937,13280,13150,12007,10164
"0227530",15446,16404,13782,13633,12168,10817
"0227640",16190,17095,13934,13784,11657,10301
"0227700",8957,9987,8114,7977,7259,6093
"0228200",11940,13033,10676,10541,9144,7837
"0228590",15252,16074,13493,13409,11032,10316
"0228740",14777,15702,12955,12837,11588,9806
"0229130",14749,16101,13405,13234,12101,10515
"0229180",15767,16799,13963,13794,12006,10766
"0229290",13321,14840,11314,11148,9390,8228
"0230060",14723,15685,12936,12781,11088,10160
"0230500",15164,15937,13280,13150,12007,10164
"0230940",9272,10429,8478,8339,7640,6383
"0231050",12144,13154,10878,10738,9720,8432
"0231270",11428,12700,10393,10255,9455,7731
"0231710",11810,12939,10253,10105,9245,7315
"0231765",15559,17018,14022,13882,12396,11158
